# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(4, 0x0000000D, 0x1C01C10D, -0.004882812500000, -0.004882812500000)
@(4, 0x0000000D, 0x1C01C509, 0.004882812500000, 0.004882812500000)
@(4, 0x0000000D, 0x5C05C10D, 0.004882812500000, 0.004882812500000)
@(4, 0x0000000D, 0x5C05C509, -0.004882812500000, -0.004882812500000)
@(4, 0x000D0000, 0xC10D1C01, -0.004882812500000, -0.004882812500000)
@(4, 0x000D0000, 0xC10D5C05, 0.004882812500000, 0.004882812500000)
@(4, 0x000D0000, 0xC5091C01, 0.004882812500000, 0.004882812500000)
@(4, 0x000D0000, 0xC5095C05, -0.004882812500000, -0.004882812500000)
@(4, 0x00000001, 0x22022200, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0x22023201, 0.003906250000000, 0.003906250000000)
@(4, 0x00000001, 0x23022200, 0.003906250000000, 0.003906250000000)
@(4, 0x00000001, 0x23023201, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0x8808C804, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0x8C088800, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0xC80CCC00, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0xCC0C8C04, -0.003906250000000, -0.003906250000000)
@(4, 0x00000002, 0x88088800, -0.003906250000000, -0.003906250000000)
@(4, 0x00000003, 0x1C01C10D, 0.003906250000000, 0.003906250000000)
@(4, 0x00000003, 0x1C01C509, -0.003906250000000, -0.003906250000000)
@(4, 0x00000003, 0x5C05C10D, -0.003906250000000, -0.003906250000000)
@(4, 0x00000003, 0x5C05C509, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0x8808C804, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0x8C088800, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0xC80CCC00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0xCC0C8C04, 0.003906250000000, 0.003906250000000)
@(4, 0x00000005, 0x22022200, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x1C01C10D, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x1C01C509, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x44044400, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x44044602, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x4404E40A, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x4404E608, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x4E044400, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x4E044602, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x4E04E40A, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x4E04E608, 0.003906250000000, 0.003906250000000)
@(4, 0x00000009, 0x22022200, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000D, 0x22022200, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000E, 0x8708780F, -0.003906250000000, -0.003906250000000)
@(4, 0x0000000E, 0x87088800, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000E, 0x8808780F, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000E, 0x8808F807, -0.003906250000000, -0.003906250000000)
@(4, 0x0000000E, 0x8F088800, -0.003906250000000, -0.003906250000000)
@(4, 0x0000000E, 0x8F08F807, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000F, 0x88088800, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x88808C04, -0.003906250000000, -0.003906250000000)
@(4, 0x00000010, 0x8CC48800, -0.003906250000000, -0.003906250000000)
@(4, 0x00000010, 0xC8848800, -0.003906250000000, -0.003906250000000)
@(4, 0x00000010, 0xCCC08C04, -0.003906250000000, -0.003906250000000)
@(4, 0x00000040, 0x88808C04, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0x8CC48800, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0xC8848800, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0xCCC08C04, 0.003906250000000, 0.003906250000000)
@(4, 0x000000E0, 0x8880780F, 0.003906250000000, 0.003906250000000)
@(4, 0x000000E0, 0x8880F807, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x08888CC8, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x08888CCC, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x0888C888, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x0888C88C, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x0CCC88C8, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x0CCC88CC, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x0CCCCC88, 0.003906250000000, 0.003906250000000)
@(4, 0x00001000, 0x0CCCCC8C, 0.003906250000000, 0.003906250000000)
@(4, 0x00004000, 0x08888CC8, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x08888CCC, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x0888C888, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x0888C88C, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x0CCC88C8, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x0CCC88CC, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x0CCCCC88, -0.003906250000000, -0.003906250000000)
@(4, 0x00004000, 0x0CCCCC8C, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0x22002202, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0x22002302, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x32012202, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x32012302, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0x88008C08, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0x8C04CC0C, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0xC8048808, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0xCC00C80C, -0.003906250000000, -0.003906250000000)
@(4, 0x00020000, 0x88008808, -0.003906250000000, -0.003906250000000)
