# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x00070000, 0x208AC0A6, -0.000503540039062, -0.000503540039062)
@(5, 0x0000000A, 0x002228A8, 0.000488281250000, 0.000488281250000)
@(5, 0x0000000A, 0x0022A028, 0.000488281250000, 0.000488281250000)
@(5, 0x0000000A, 0x00AA2820, 0.000488281250000, 0.000488281250000)
@(5, 0x000A0000, 0x20200822, 0.000484466552734, 0.000484466552734)
@(5, 0x000A0000, 0x20A808AA, 0.000484466552734, 0.000484466552734)
@(5, 0x000A0000, 0x282000AA, 0.000484466552734, 0.000484466552734)
@(5, 0x000A0000, 0x28A80022, 0.000484466552734, 0.000484466552734)
@(5, 0x0000000F, 0x002228A8, -0.000427246093750, -0.000427246093750)
@(5, 0x0000000F, 0x0022A028, -0.000427246093750, -0.000427246093750)
@(5, 0x0000000F, 0x00AA2820, -0.000427246093750, -0.000427246093750)
@(5, 0x000000A0, 0x022008AA, 0.000427246093750, 0.000427246093750)
@(5, 0x000000A0, 0x022808AA, 0.000427246093750, 0.000427246093750)
@(5, 0x000000A0, 0x02A00822, 0.000427246093750, 0.000427246093750)
@(5, 0x000000A0, 0x02A80822, 0.000427246093750, 0.000427246093750)
@(5, 0x000F0000, 0x20200822, -0.000427246093750, -0.000427246093750)
@(5, 0x000F0000, 0x20A808AA, -0.000427246093750, -0.000427246093750)
@(5, 0x000F0000, 0x282000AA, -0.000427246093750, -0.000427246093750)
@(5, 0x000F0000, 0x28A80022, -0.000427246093750, -0.000427246093750)
@(5, 0x00A00000, 0x00220A20, 0.000427246093750, 0.000427246093750)
@(5, 0x00A00000, 0x00220A28, 0.000427246093750, 0.000427246093750)
@(5, 0x0000000E, 0x00444040, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x00444A40, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x0044E04A, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x0044EA4A, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x00EE4040, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x00EE4A40, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x00EEE04A, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x00EEEA4A, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x0A444040, 0.000426769256592, 0.000426769256592)
@(5, 0x0000000E, 0x0A444A40, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x40400044, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x404000EE, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x40400A44, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x40400AEE, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x4A400044, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x4A4000EE, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x4A400A44, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0x4A400AEE, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0xE04A0044, 0.000426769256592, 0.000426769256592)
@(5, 0x000E0000, 0xE04A00EE, 0.000426769256592, 0.000426769256592)
@(5, 0x000000F0, 0x022008AA, -0.000411987304688, -0.000411987304688)
@(5, 0x000000F0, 0x022808AA, -0.000411987304688, -0.000411987304688)
@(5, 0x000000F0, 0x02A00822, -0.000411987304688, -0.000411987304688)
@(5, 0x000000F0, 0x02A80822, -0.000411987304688, -0.000411987304688)
@(5, 0x00F00000, 0x00220A20, -0.000411987304688, -0.000411987304688)
@(5, 0x00F00000, 0x00220A28, -0.000411987304688, -0.000411987304688)
@(5, 0x0000000F, 0x00222575, 0.000366210937500, 0.000366210937500)
@(5, 0x0000000F, 0x00227570, 0.000366210937500, 0.000366210937500)
@(5, 0x0000000F, 0x0022A57D, -0.000366210937500, -0.000366210937500)
@(5, 0x0000000F, 0x00AA2D75, -0.000366210937500, -0.000366210937500)
@(5, 0x000000E0, 0x022008AA, 0.000366210937500, 0.000366210937500)
@(5, 0x000000E0, 0x022808AA, 0.000366210937500, 0.000366210937500)
@(5, 0x000000E0, 0x02A00822, 0.000366210937500, 0.000366210937500)
@(5, 0x000000E0, 0x02A80822, 0.000366210937500, 0.000366210937500)
@(5, 0x000F0000, 0x25750022, 0.000366210937500, 0.000366210937500)
@(5, 0x000F0000, 0x25750522, 0.000366210937500, 0.000366210937500)
@(5, 0x000F0000, 0x25750822, -0.000366210937500, -0.000366210937500)
@(5, 0x00E00000, 0x00220A20, 0.000366210937500, 0.000366210937500)
@(5, 0x00E00000, 0x00220A28, 0.000366210937500, 0.000366210937500)
@(5, 0x20000000, 0x222AA0AA, 0.000366210937500, 0.000366210937500)
@(5, 0x000A0000, 0x25200D77, 0.000353813171387, 0.000353813171387)
@(5, 0x00000007, 0x802AA082, 0.000350952148438, 0.000350952148438)
@(5, 0x00000007, 0x80A2208A, -0.000350952148438, -0.000350952148438)
@(5, 0x00000007, 0x857FA082, 0.000350952148438, 0.000350952148438)
@(5, 0x00000007, 0x882A208A, 0.000350952148438, 0.000350952148438)
@(5, 0x0000000A, 0x00222575, -0.000305175781250, -0.000305175781250)
@(5, 0x0000000A, 0x00222DA8, 0.000305175781250, 0.000305175781250)
@(5, 0x0000000A, 0x00227025, -0.000305175781250, -0.000305175781250)
@(5, 0x0000000A, 0x00227570, -0.000305175781250, -0.000305175781250)
