# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(5, 0x00000006, 0x802A208A, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x802A708F, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x802AA082, -0.001041412353516, -0.001041412353516)
@(5, 0x00000006, 0x802AF087, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x807F208A, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x807F708F, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x807FA082, -0.001041412353516, -0.001041412353516)
@(5, 0x00000006, 0x807FF087, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x80A2208A, 0.001041412353516, 0.001041412353516)
@(5, 0x00000006, 0x80A2708F, 0.001041412353516, 0.001041412353516)
@(5, 0x00000004, 0x817F408C, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x817F608E, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x837F408C, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x837F608E, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x842A408C, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x842A608E, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x862A408C, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x862A608E, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x89F7408C, -0.000915527343750, -0.000915527343750)
@(5, 0x00000004, 0x89F7608E, -0.000915527343750, -0.000915527343750)
@(5, 0x00060000, 0x208A802A, 0.000701904296875, 0.000701904296875)
@(5, 0x00060000, 0x208A807F, 0.000701904296875, 0.000701904296875)
@(5, 0x00060000, 0x208A80A2, 0.000701904296875, 0.000701904296875)
@(5, 0x00060000, 0x208A80F7, 0.000701904296875, 0.000701904296875)
@(5, 0x00060000, 0x208A852A, 0.000701904296875, 0.000701904296875)
@(5, 0x00060000, 0x208A857F, 0.000701904296875, 0.000701904296875)
@(5, 0x00060000, 0x208A85A2, -0.000701904296875, -0.000701904296875)
@(5, 0x00060000, 0x208A85F7, -0.000701904296875, -0.000701904296875)
@(5, 0x00060000, 0x208A882A, -0.000701904296875, -0.000701904296875)
@(5, 0x00060000, 0x208A887F, 0.000701904296875, 0.000701904296875)
@(5, 0x000E0000, 0x40400A44, 0.000696182250977, 0.000696182250977)
@(5, 0x000E0000, 0xE04A0044, 0.000696182250977, 0.000696182250977)
@(5, 0x000E0000, 0xE04A0A44, 0.000696182250977, 0.000696182250977)
@(5, 0x00040000, 0x208AC16A, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x208AC348, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x208AC46A, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x208AC648, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x208AC96A, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x208ACB48, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x208ACC6A, 0.000610351562500, 0.000610351562500)
@(5, 0x00040000, 0x208ACE48, 0.000610351562500, 0.000610351562500)
@(5, 0x00040000, 0x408C817F, -0.000610351562500, -0.000610351562500)
@(5, 0x00040000, 0x408C837F, -0.000610351562500, -0.000610351562500)
@(5, 0x0000000E, 0x0044E04A, 0.000604629516602, 0.000604629516602)
@(5, 0x0000000E, 0x0A444040, 0.000604629516602, 0.000604629516602)
@(5, 0x0000000E, 0x0A44E04A, 0.000604629516602, 0.000604629516602)
@(5, 0x000E0000, 0x10450044, 0.000599861145020, 0.000599861145020)
@(5, 0x00000005, 0x802A208A, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x802A708F, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x802AA082, -0.000580787658691, -0.000580787658691)
@(5, 0x00000005, 0x802AF087, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x807F208A, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x807F708F, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x807FA082, -0.000580787658691, -0.000580787658691)
@(5, 0x00000005, 0x807FF087, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x80A2208A, 0.000580787658691, 0.000580787658691)
@(5, 0x00000005, 0x80A2708F, 0.000580787658691, 0.000580787658691)
@(5, 0x0000000E, 0x00441045, 0.000569343566895, 0.000569343566895)
@(5, 0x0000000E, 0x00EE4515, -0.000552177429199, -0.000552177429199)
@(5, 0x0000000E, 0x00EE4F15, -0.000552177429199, -0.000552177429199)
@(5, 0x0000000E, 0x00EEE51F, -0.000552177429199, -0.000552177429199)
@(5, 0x0000000E, 0x00EEEF1F, -0.000552177429199, -0.000552177429199)
@(5, 0x0000000E, 0x0A444515, -0.000552177429199, -0.000552177429199)
@(5, 0x0000000E, 0x0A444F15, -0.000552177429199, -0.000552177429199)
@(5, 0x00000003, 0x802A208A, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x802A708F, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x802AA082, 0.000544548034668, 0.000544548034668)
@(5, 0x00000003, 0x802AF087, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x807F208A, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x807F708F, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x807FA082, 0.000544548034668, 0.000544548034668)
@(5, 0x00000003, 0x807FF087, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x80A2208A, -0.000544548034668, -0.000544548034668)
@(5, 0x00000003, 0x80A2708F, -0.000544548034668, -0.000544548034668)
@(5, 0x00000001, 0x802A208A, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x802A708F, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x802AA082, 0.000538825988770, 0.000538825988770)
@(5, 0x00000001, 0x802AF087, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x807F208A, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x807F708F, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x807FA082, 0.000538825988770, 0.000538825988770)
@(5, 0x00000001, 0x807FF087, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x80A2208A, -0.000538825988770, -0.000538825988770)
@(5, 0x00000001, 0x80A2708F, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x817F408C, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x817F608E, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x837F408C, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x837F608E, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x842A408C, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x842A608E, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x862A408C, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x862A608E, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x89F7408C, -0.000538825988770, -0.000538825988770)
@(5, 0x00000009, 0x89F7608E, -0.000538825988770, -0.000538825988770)
@(5, 0x0000000C, 0x0044E04A, -0.000523567199707, -0.000523567199707)
@(5, 0x0000000C, 0x0A444040, -0.000523567199707, -0.000523567199707)
@(5, 0x0000000C, 0x0A44E04A, -0.000523567199707, -0.000523567199707)
@(5, 0x000C0000, 0x40400A44, -0.000523567199707, -0.000523567199707)
@(5, 0x000C0000, 0xE04A0044, -0.000523567199707, -0.000523567199707)
@(5, 0x000C0000, 0xE04A0A44, -0.000523567199707, -0.000523567199707)
@(5, 0x0000000A, 0x002228A8, 0.000518798828125, 0.000518798828125)
@(5, 0x0000000A, 0x0022A028, 0.000518798828125, 0.000518798828125)
@(5, 0x000A0000, 0x20200822, 0.000518798828125, 0.000518798828125)
@(5, 0x000A0000, 0x20A808AA, 0.000518798828125, 0.000518798828125)
@(5, 0x0000000D, 0x817F408C, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x817F608E, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x837F408C, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x837F608E, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x842A408C, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x842A608E, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x862A408C, -0.000517845153809, -0.000517845153809)
@(5, 0x0000000D, 0x862A608E, -0.000517845153809, -0.000517845153809)
